# iteration objective gradient_norm
367 2.984495080604709528e+03 2.056741574069953913e+03
368 2.979177244659026655e+03 2.050609987844406078e+03
369 2.973891078008562999e+03 2.044512022354414285e+03
370 2.968636159046563535e+03 2.038526849555160652e+03
371 2.963411745513321875e+03 2.032758368140577431e+03
372 2.958216263458747108e+03 2.027441852792687314e+03
373 2.953047869362195343e+03 2.022247122818795106e+03
374 2.947905523735116276e+03 2.017313272937590455e+03
375 2.942788273482537534e+03 2.012352076250851042e+03
376 2.937696164088180922e+03 2.007449973755378778e+03
377 2.932628651056560557e+03 2.002611718116589827e+03
378 2.927585951812413441e+03 1.997491730133768442e+03
379 2.922569149185816514e+03 1.992147990175622226e+03
380 2.917579679442315864e+03 1.986518590982987007e+03
381 2.912618596898379565e+03 1.980744394851603829e+03
382 2.907686198270287605e+03 1.975101229444119326e+03
383 2.902781670342661982e+03 1.969597576592856285e+03
384 2.897904494746471300e+03 1.964080325230328754e+03
385 2.893054501849780536e+03 1.958639918616679097e+03
386 2.888231530777126864e+03 1.953075299599958726e+03
387 2.883435750458159418e+03 1.947667354100752618e+03
388 2.878666489546873436e+03 1.942277537236291437e+03
389 2.873923578360776446e+03 1.936910724061803876e+03
390 2.869206831906593379e+03 1.931566822816188278e+03
391 2.864516061398425791e+03 1.926270930551640276e+03
392 2.859850777280083548e+03 1.921177503260676758e+03
393 2.855209997898110942e+03 1.916164933889113627e+03
394 2.850593408145846297e+03 1.911142029999839451e+03
395 2.846001032797501466e+03 1.906110861357467911e+03
396 2.841432848451786867e+03 1.901062109432719808e+03
397 2.836888902879935358e+03 1.895990071413120177e+03
398 2.832369088058122998e+03 1.890978729871919541e+03
399 2.827873010607091146e+03 1.886039914656983228e+03
400 2.823400581164056348e+03 1.881019061128167095e+03
401 2.818951719026307273e+03 1.876168652051552499e+03
402 2.814525756943681245e+03 1.871352715044407205e+03
403 2.810122428876409231e+03 1.866589104601173403e+03
404 2.805741465483612046e+03 1.861894084373171836e+03
405 2.801382406504661958e+03 1.857290939049346889e+03
406 2.797044673846968635e+03 1.852809998802077416e+03
407 2.792728080751277503e+03 1.848255638757740826e+03
408 2.788432174106476850e+03 1.844068893975211267e+03
409 2.784155629632814907e+03 1.839961399039808839e+03
410 2.779898104125877126e+03 1.835870257513415936e+03
411 2.775659491929045998e+03 1.831758754552243317e+03
412 2.771440062899944223e+03 1.827494830435977065e+03
413 2.767240248165919184e+03 1.823246582766220854e+03
414 2.763059930166416962e+03 1.819013957604937559e+03
415 2.758898992089766125e+03 1.814796901190617746e+03
416 2.754757317868232349e+03 1.810595359937650301e+03
